theta,epsilon,delta_v,Value_High,Value_Low
0.5,0.7,0.26921505055915945,0.6442222784111084,0.375007227851949
0.5,0.7,0.2572400421452708,0.6319082575003455,0.3746682153550748
0.5,0.7,0.2581583160028067,0.6237214323218461,0.36556311631903937
0.5,0.7,0.26754222316851267,0.6514642026859083,0.3839219795173957
0.5,0.7,0.28389588678675937,0.656348862743307,0.37245297595654747
0.5,0.7,0.31720173732521145,0.6797448145291614,0.3625430772039499
0.5,0.7,0.275108756255387,0.6493660180042621,0.37425726174887514
0.5,0.8,0.22162588629896038,0.611297350413723,0.3896714641147625
0.5,0.8,0.24777559288260448,0.6430271934480086,0.3952516005654042
0.5,0.8,0.19235894508688411,0.598714478309975,0.406355533223091
0.5,0.8,0.2415691073929579,0.6296386239846938,0.38806951659173605
0.5,0.8,0.2686670600978089,0.6642771785021917,0.3956101184043828
0.5,0.8,0.24069415973369232,0.6297852666421799,0.38909110690848775
0.5,0.8,0.27110492248326395,0.6464274943985222,0.3753225719152583
0.5,0.8,0.20854196358811058,0.6033681883727533,0.3948262247846428
0.5,0.8,0.182838527638151,0.585925800579963,0.403087272941812
0.5,0.8,0.18995335342354772,0.5953899798124986,0.40543662638895095
0.5,0.9,0.2151437353696377,0.6176157497481602,0.4024720143785226
0.5,0.9,0.2255920759339193,0.6184651699502536,0.39287309401633436
0.5,0.9,0.18007572755052684,0.59368049807472,0.41360477052419314
0.5,0.9,0.2093439197975535,0.6129732621753115,0.4036293423777581
0.5,0.9,0.19809667590246097,0.6080103974812201,0.4099137215787591
0.5,0.9,0.2016868377152764,0.6093243501910153,0.40763751247573893
0.5,0.9,0.18745690708614657,0.5939668636790453,0.4065099565928986
0.5,0.9,0.2043411821533789,0.6069589315714051,0.40261774941802614
0.5,0.9,0.17994084337007035,0.5810550410577817,0.40111419768771156
0.5,0.9,0.2318468449319342,0.6274422924231926,0.3955954474912584
0.5,1.0,0.17757831027827337,0.5932508591560977,0.4156725488778244
0.5,1.0,0.18258767912911827,0.6103626498109521,0.42777497068183373
0.5,1.0,0.19192122828732333,0.6103766791134295,0.41845545082610625
0.5,1.0,0.15910192136283552,0.5828527869837666,0.4237508656209311
0.5,1.0,0.17630340508701398,0.5964160257294623,0.4201126206424483
0.5,1.0,0.17863684233593613,0.5960766414482559,0.4174397991123196
0.5,1.0,0.16175250020965354,0.5793834433779355,0.4176309431682818
0.5,1.0,0.17440211721250062,0.5963048992357963,0.42190278202329556
0.5,1.0,0.1672555124150522,0.5892933859333244,0.42203787351827216
0.5,1.0,0.16916000132392675,0.5945320046042015,0.4253720032802748
1.0,0.0,0.8203586752001902,0.9999999999999096,0.17964132479971948
1.0,0.0,0.8386456778553538,0.9999999999998608,0.16135432214450687
1.0,0.0,0.8003490909919408,0.9999999999998925,0.19965090900795177
1.0,0.0,0.8378466254192997,0.9999999999998843,0.16215337458058457
1.0,0.0,0.831349731230491,0.9999999999999034,0.16865026876941214
1.0,0.0,0.8371279579193093,0.9999999999998849,0.16287204208057576
1.0,0.0,0.8187710077608341,0.9999999999998945,0.18122899223906042
1.0,0.0,0.8269441056390129,0.9999999999999019,0.17305589436088906
1.0,0.0,0.8408197024069528,0.9999999999998472,0.15918029759289445
1.0,0.0,0.8170527375425028,0.9999999999999142,0.18294726245741152
1.0,0.1,0.7481157766607724,0.9527221360149156,0.2046063593541431
1.0,0.1,0.7227394981126839,0.9352855580053311,0.21254605989264713
1.0,0.1,0.7093229279409274,0.9183210666936865,0.20899813875275902
1.0,0.1,0.7189829063694023,0.9244844853096984,0.2055015789402961
1.0,0.1,0.7518440765813058,0.9415028463786419,0.18965876979733573
1.0,0.1,0.7328015682601589,0.9328967024401368,0.20009513417997782
1.0,0.1,0.7249577850186469,0.9323357475226086,0.20737796250396184
1.0,0.1,0.7237827586662309,0.9350661968440588,0.2112834381778276
1.0,0.1,0.759533353040424,0.9422911438995795,0.1827577908591552
1.0,0.1,0.7045203295226311,0.922922657713405,0.2184023281907741
1.0,0.2,0.6076240005703145,0.8529378840144091,0.2453138834440946
1.0,0.2,0.6072948033865537,0.8454597301203797,0.23816492673382597
1.0,0.2,0.6108828396429518,0.8509402005105406,0.24005736086758897
1.0,0.2,0.6312951936564926,0.8627180681015308,0.23142287444503817
1.0,0.2,0.6392167430448115,0.8647863677676461,0.22556962472283434
1.0,0.2,0.6344187692199402,0.8683832154292931,0.23396444620935306
1.0,0.2,0.5896822127974751,0.835950072450921,0.24626785965344594
1.0,0.2,0.6100412878192535,0.8512178234573057,0.24117653563805214
1.0,0.2,0.6542157416023268,0.8778624131340677,0.22364667153174067
1.0,0.2,0.6461563286706432,0.8720427966181609,0.2258864679475177
1.0,0.3,0.5034919572722231,0.7743967804491422,0.27090482317691944
1.0,0.3,0.47453769935659695,0.7657745668869917,0.29123686753039446
1.0,0.3,0.5355589781143661,0.7904702999383857,0.2549113218240196
1.0,0.3,0.5053098216765234,0.7769591105261633,0.2716492888496399
1.0,0.3,0.4979821640474233,0.7736452926694678,0.2756631286220445
1.0,0.3,0.522437306981787,0.7965189495621324,0.2740816425803455
1.0,0.3,0.5111053736400762,0.7843114862686233,0.2732061126285469
1.0,0.3,0.47979408398567935,0.7615681175357775,0.281774033550098
1.0,0.3,0.5000318438415082,0.7779546735450988,0.27792282970359056
1.0,0.3,0.522465207813892,0.7943311564325661,0.27186594861867425
1.0,0.4,0.38864312376619387,0.6942777451514422,0.3056346213852485
1.0,0.4,0.45419855700018225,0.7424447420272163,0.28824618502703414
1.0,0.4,0.41108825060929066,0.719586070045305,0.3084978194360144
1.0,0.4,0.4278225321338477,0.7295832517452348,0.30176071961138695
1.0,0.4,0.4590154005937388,0.7500189777843486,0.2910035771906095
1.0,0.4,0.4440692259141589,0.7310152977987827,0.286946071884624
1.0,0.4,0.4874169069950225,0.7733038857113419,0.2858869787163195
1.0,0.4,0.3733260144624398,0.7045182109644641,0.33119219650202425
1.0,0.4,0.4433645060007123,0.7453998654131345,0.3020353594124224
1.0,0.4,0.39149618235782585,0.7068014824716804,0.3153053001138544
1.0,0.5,0.318545776080647,0.6539951873803607,0.3354494112997138
1.0,0.5,0.34523373087989995,0.6756130147062805,0.33037928382638043
1.0,0.5,0.3662766599962646,0.6970279235238955,0.3307512635276309
1.0,0.5,0.2999404368981658,0.6417266076050703,0.3417861707069044
1.0,0.5,0.34375195963461347,0.6725992521715811,0.3288472925369678
1.0,0.5,0.310923455123861,0.6659074609545766,0.3549840058307157
1.0,0.5,0.34547906885757257,0.6739130822203923,0.32843401336281963
1.0,0.5,0.3517840647578599,0.6937617611945673,0.3419776964367074
1.0,0.5,0.3807848078409634,0.6906974684806929,0.3099126606397295
1.0,0.5,0.3057034524023633,0.6477994869381632,0.3420960345358
1.0,0.6,0.2557604684778471,0.6106942577717241,0.35493378929387687
1.0,0.6,0.2303675260458156,0.5948417518685201,0.3644742258227044
1.0,0.6,0.2833321696112979,0.6363875392891227,0.35305536967782475
1.0,0.6,0.2962965922528763,0.6374643215267622,0.34116772927388594
1.0,0.6,0.2974893754550073,0.6459294079042607,0.3484400324492532
1.0,0.6,0.24281660996172869,0.6036108587675799,0.36079424880585115
1.0,0.6,0.3033146313278401,0.6476362659794256,0.34432163465158533
1.0,0.6,0.21179713199211112,0.5861248848712133,0.37432775287910225
1.0,0.6,0.24781107797701193,0.6123409870805187,0.3645299091035067
1.0,0.6,0.2636535627564101,0.6239582963841547,0.3603047336277448
1.0,0.7,0.21558181254116654,0.5906632477115566,0.37508143517038994
1.0,0.7,0.143677674956589,0.535404609212593,0.391726934256004
1.0,0.7,0.22187605349589068,0.5902983466089277,0.3684222931130372
1.0,0.7,0.20808784145767167,0.5744353433106165,0.3663475018529448
1.0,0.7,0.22212113591297908,0.5960687512576764,0.3739476153446974
1.0,0.7,0.2270467840177571,0.5908809844794264,0.3638342004616694
1.0,0.7,0.2265474851724985,0.5960473210384319,0.36949983586593355
1.0,0.7,0.20136717481637223,0.5723715350632379,0.37100436024686556
1.0,0.7,0.2016098368049896,0.5801121781325682,0.3785023413275786
1.0,0.7,0.16348351638542702,0.5482368132311026,0.3847532968456756
1.0,0.8,0.1791092571516378,0.5598151681682054,0.3807059110165675
1.0,0.8,0.21268654505015416,0.5845220469127392,0.3718355018625851
1.0,0.8,0.1775005714983213,0.5525700317031482,0.3750694602048268
1.0,0.8,0.18140118483921763,0.5660389670320675,0.3846377821928499
1.0,0.8,0.17978990471614398,0.5598136351881033,0.38002373047195936
1.0,0.8,0.18609747736732035,0.5709544797802562,0.3848570024129358
1.0,0.8,0.16661634143540474,0.5577330564731179,0.39111671503771306
1.0,0.8,0.19481382268294867,0.575339710246409,0.3805258875634602
1.0,0.8,0.17965148475938345,0.5697798085814797,0.3901283238220963
1.0,0.8,0.20854169787204793,0.585304144664776,0.37676244679272813
