parameter_value,value_low,value_high,run
0.5,0.5999999993711825,0.2133353416765988,2
0.5,0.5813375986396891,0.09782859983590891,2
0.5,0.5999999999999936,0.15158459985674586,2
0.5,0.5994775722393595,0.40053469271262376,2
0.5,0.5999999885395104,0.125783419813767,2
0.5,0.21599854151050144,0.44617271133278263,2
0.5,0.5999999115304682,0.37017752961741773,2
0.5,0.01942000272076871,0.4999999999999941,2
0.5,0.5555384875759646,0.45679999669938054,2
0.5,0.5947899554963711,0.17719679044864045,2
0.5,0.5999749976532132,0.26125678235049643,2
0.5,0.2867500864309528,0.4999999881144341,2
0.5,0.5999996069796877,0.3027852205127788,2
0.5,0.5999999999999824,0.4805462091932447,2
0.5,0.24067656324346776,0.4999999999999967,2
0.5,0.384190991275297,0.49999999747319884,2
0.5,0.5985369260964096,0.27308837525016894,2
0.5,0.0565500357548413,0.49999999956956903,2
0.5,0.591298142777789,0.17269031041288666,2
0.5,0.5304868377901714,0.2567998825663461,2
0.5,0.00817399610837925,0.49998781280176546,2
0.5,0.5481599394168903,0.32161268366954643,2
0.5,0.5999928081065647,0.4173344345123445,2
0.5,0.5999999999807857,0.45203450885115026,2
0.5,0.4056058359361574,0.4999999979371129,2
0.5,0.5999999999999511,0.2805624217937827,2
0.5,0.044400917530088145,0.49999999999999994,2
0.5,0.45599999319168033,0.48197316207075436,2
0.5,0.0777599906886449,0.49466880326823515,2
0.5,0.5813355567345321,0.35594032824998656,2
0.5,0.028136991014506986,0.4999983827616655,2
0.5,0.5994771628432121,0.15223309176134936,2
0.5,0.23361673815584671,0.49999999999995476,2
0.5,0.5999995905948708,0.021486903577170573,2
0.5,0.2920312878102094,0.49999999999995476,2
0.5,0.5999998437407306,0.22121131473788005,2
0.5,0.593281491238224,0.3399192821493834,2
0.5,0.5999593760173323,0.2076500658339455,2
0.5,0.5908028849242619,0.40707322876535135,2
0.5,0.5997708885401638,0.05435190498762737,2
0.5,0.08680310024479954,0.4999985821416938,2
0.5,0.5999322933622148,0.13102725716141386,2
0.5,0.5999999999999995,0.1778001126948548,2
0.5,0.5429696669834543,0.2018187101453235,2
0.5,0.3002821263963167,0.49999987145091973,2
0.5,0.03641005893584369,0.4999973675649019,2
0.5,0.12959549449566937,0.4989010427281758,2
0.5,0.5999999991087688,0.2099751969588211,2
0.5,0.5813375837417,0.15621943865209298,2
0.5,0.35999999999998944,0.2590805753060314,2
0.5,0.5999997543623111,0.22794069058768118,2
0.5,0.5999485720586266,0.01529833605680294,2
0.5,0.5999999997108136,0.13736077017592058,2
0.5,0.5634197826706152,0.2815941050629271,2
0.5,0.42924150788147203,0.4999999891771819,2
0.5,0.11660701225239972,0.4740799998792705,2
0.5,0.5999999999999671,0.15490990406105287,2
0.5,0.011322146559942875,0.4999999960086086,2
0.5,0.5999593760173325,0.2085217019624558,2
0.5,0.5999999999907932,0.3679128748755206,2
0.5,0.14602899724532759,0.49997229241931396,2
0.5,0.32058009599882975,0.4990166395223703,2
0.5,0.07596714589001388,0.49104204662313616,2
0.5,0.5993692511980234,0.37953487413248,2
0.5,0.25838824668720717,0.4909864490978367,2
