theta_post,p_high_post,delta_v,Value_High,Value_Low,LH_Ratio
0.45,0.775,0.5399415746009519,0.74422332483391,0.20428175023295797,0.5047114361425493
0.45,0.8,0.5657023729261852,0.7693256024026965,0.20362322947651132,0.5024162925132449
0.45,0.825,0.5904367866304947,0.7939024155537415,0.20346562892324682,0.500013646320961
0.45,0.85,0.6153845638178401,0.818624574791451,0.203240010973611,0.49896655798101
0.45,0.875,0.639815389468494,0.8429271976460957,0.20311180817760155,0.49811117004075794
0.45,0.9,0.6650226631368639,0.8677473582541181,0.20272469511725424,0.4971683196095925
0.45,0.925,0.6896253113423958,0.8921645435322947,0.20253923218989903,0.49641749988560085
0.45,0.95,0.7138948351360005,0.9163844912562495,0.2024896561202491,0.49601727089507125
0.45,0.975,0.7381357421867867,0.9405779655843924,0.20244222339760576,0.4957712130313663
0.45,1.0,0.7622559241903935,0.9646974152444467,0.20244149105405337,0.4952092214704142
0.5,0.5,0.11324872623044488,0.3893584459746831,0.27610971974423826,0.6591941345330583
0.5,0.5249999999999999,0.1840958824780185,0.43522986043786427,0.2511339779598457,0.5888278104916347
0.5,0.55,0.24181773740372242,0.475679212416915,0.2338614750131926,0.5359002791190824
0.5,0.575,0.2952582935027725,0.51440810271037,0.2191498092075974,0.4924664874764333
0.5,0.6,0.34609688486350343,0.5519295273684752,0.20583264250497185,0.45670692977178307
0.5,0.625,0.3913693248261022,0.5870529873119101,0.19568366248580799,0.4277124366654193
0.5,0.6499999999999999,0.4247619119594434,0.6158352795327012,0.19107336757325782,0.41207236282413173
0.5,0.675,0.45664445983136037,0.6441393364302803,0.18749487659891992,0.40307609996340626
0.5,0.7,0.4869732433852786,0.6715187821402109,0.18454553875493235,0.39610182559293655
0.5,0.725,0.5127143711005184,0.6964971921727646,0.18378282107224614,0.39275659001207586
0.5,0.75,0.5380717766831322,0.7214203590292227,0.18334858234609047,0.3909257667579772
0.5,0.775,0.5630348762745829,0.7460011777970534,0.18296630152247043,0.3896054100472892
0.5,0.8,0.5875731521456095,0.7703303273684029,0.18275717522279347,0.3880527003160396
0.5,0.825,0.6131732142414048,0.7953679566796812,0.18219474243827635,0.3868976500217578
0.5,0.85,0.6380702089626725,0.8199498707667505,0.18187966180407794,0.38643372196244247
0.5,0.875,0.6639735661471894,0.8451561001485217,0.1811825340013324,0.3855668699252107
0.5,0.9,0.6893467718833299,0.8701762132730044,0.1808294413896745,0.38526786150832093
0.5,0.925,0.7140198358064457,0.8946994129454442,0.1806795771389985,0.3851899650368116
0.5,0.95,0.7382214701134006,0.91889138194583,0.18066991183242942,0.3849986894239983
0.5,0.975,0.7624047292884405,0.9430732436799613,0.18066851439152087,0.3849438592327493
0.5,1.0,0.7865860945136812,0.9672546089032013,0.18066851438952003,0.38487627237483935
0.55,0.5,0.1997955864408058,0.42727995965048626,0.22748437320968046,0.4489518743317859
0.55,0.5249999999999999,0.25901870979938224,0.46671022042830623,0.20769151062892402,0.4042470023524096
0.55,0.55,0.3087902628050161,0.5017748413141999,0.1929845785091838,0.37156113850793465
0.55,0.575,0.35279724120907097,0.535995389868138,0.18319814865906697,0.34510765110620983
0.55,0.6,0.3908982841780898,0.5668479309307173,0.17594964675262753,0.33122559228249343
0.55,0.625,0.42628746988769456,0.5963271032185459,0.1700396333308513,0.32078142841049234
0.55,0.6499999999999999,0.459355291630819,0.6249506515932137,0.16559535996239466,0.31241760523966594
0.55,0.675,0.48677060018440743,0.6508887846997167,0.1641181845153093,0.3079704759981766
0.55,0.7,0.5140536843740505,0.676654877104381,0.16260119273033052,0.3040443910799947
0.55,0.725,0.5385455226745277,0.701040029487351,0.16249450681282335,0.30317365851433
0.55,0.75,0.5642137020822064,0.7260380230796226,0.16182432099741612,0.30264391598171686
0.55,0.775,0.5903086966030935,0.7513578553364723,0.1610491587333788,0.30064024504649767
0.55,0.8,0.6154727657178063,0.7762219368882401,0.16074917117043394,0.29904838399034034
0.55,0.825,0.6403672775353954,0.800837919001426,0.16047064146603068,0.29874777177042894
0.55,0.85,0.6653100503694642,0.8254953020775873,0.16018525170812295,0.2983920119139848
0.55,0.875,0.6897030610728495,0.8498409985809156,0.16013793750806607,0.29803024423369
0.55,0.9,0.7139962768261522,0.8741260151631511,0.16012973833699898,0.29793246471603124
0.55,0.925,0.7382816299591684,0.8984092360284366,0.16012760606926818,0.2977788383883745
0.55,0.95,0.7625641458679422,0.9226912432599447,0.1601270973920025,0.29772852442731346
0.55,0.975,0.7868454943747574,0.94697259176676,0.1601270973920025,0.29772852442731346
0.55,1.0,0.8111294599398985,0.9712544387675335,0.160124978827635,0.2977206130349083
0.6000000000000001,0.5,0.2615910330983563,0.45105275745789586,0.1894617243595396,0.30366124677092277
0.6000000000000001,0.5249999999999999,0.3086180545823155,0.48456355404149687,0.1759454994591813,0.28546651303881276
0.6000000000000001,0.55,0.3512720112224853,0.5167236694092654,0.1654516581867801,0.268391787062254
0.6000000000000001,0.575,0.3918835145926587,0.5482585974722519,0.1563750828795932,0.25365260164956116
0.6000000000000001,0.6,0.4239509046752447,0.5760250937018024,0.15207418902655773,0.24446457245868997
0.6000000000000001,0.625,0.45310903161608174,0.6023014125087568,0.149192380892675,0.24015826119846623
0.6000000000000001,0.6499999999999999,0.48067719843430756,0.6282167126182749,0.14753951418396732,0.23619072784350154
0.6000000000000001,0.675,0.5061680212364205,0.6530998788391319,0.14693185760271144,0.23407691693122445
0.6000000000000001,0.7,0.5320684320355215,0.678273720768493,0.1462052887329715,0.23247354143725568
0.6000000000000001,0.725,0.5578217253437983,0.7032360646603099,0.14541433931651165,0.23071764724816837
0.6000000000000001,0.75,0.5823552079770851,0.7275109332046006,0.1451557252275154,0.23003549061214107
0.6000000000000001,0.775,0.6066141361740972,0.7517610242514066,0.1451468880773093,0.22962594124718838
0.6000000000000001,0.8,0.6314901347405104,0.7762611487169926,0.1447710139764823,0.22884838765424695
0.6000000000000001,0.825,0.6556998079999737,0.8004933221143835,0.14479351411440983,0.2288666524944296
0.6000000000000001,0.85,0.6799571975396664,0.8247506957577988,0.14479349821813242,0.22873795436556604
0.6000000000000001,0.875,0.7042670621268532,0.8490403973812037,0.14477333525435054,0.22844971217104174
0.6000000000000001,0.9,0.7285258590876402,0.8732988105232888,0.14477295143564867,0.22836355117803936
0.6000000000000001,0.925,0.752784159430969,0.897557110815616,0.14477295138464708,0.22833056369339153
0.6000000000000001,0.95,0.7770424823355941,0.9218154152390771,0.14477293290348292,0.2282703807372047
0.6000000000000001,0.975,0.8013009144895722,0.9460737252505702,0.14477281076099804,0.22825328379905518
0.6000000000000001,1.0,0.8255593974489844,0.9703320457609397,0.1447726483119553,0.22817853657335382
0.65,0.5,0.3169631780841736,0.4684558012636895,0.15149262317951587,0.21048770068837608
0.65,0.5249999999999999,0.35450799389840115,0.49767903662666696,0.1431710427282658,0.1985232314971723
0.65,0.55,0.39134603964759995,0.5269430522673562,0.13559701261975626,0.18800976914314607
0.65,0.575,0.4255043328230041,0.5553684539498899,0.12986412112688572,0.17989580924175322
0.65,0.6,0.4560249026201203,0.5823394672819504,0.12631456466183022,0.17639549698298634
0.65,0.625,0.48161956495433467,0.6070611589881161,0.12544159403378144,0.1746060698732195
0.65,0.6499999999999999,0.5063199925518888,0.6315270182460747,0.12520702569418599,0.17416119131051672
0.65,0.675,0.5312777796261035,0.656169011423983,0.12489123179787949,0.17284745387533046
0.65,0.7,0.5567847339777499,0.6811191218003653,0.1243343878226153,0.17239711443627206
0.65,0.725,0.5812859283658802,0.705531054574755,0.12424512620887473,0.17219460679873885
0.65,0.75,0.6058109288639045,0.7299935911617916,0.12418266229788708,0.1720623808197122
0.65,0.775,0.6304019190672806,0.7543878594335516,0.12398594036627109,0.17174615214455596
0.65,0.8,0.6549250037964107,0.7788214306729726,0.12389642687656185,0.17132254688940468
0.65,0.825,0.6793966988434784,0.8032038718198826,0.12380717297640428,0.17129037503826733
0.65,0.85,0.7037374862789288,0.827543412425296,0.12380592614636718,0.1712553315843845
0.65,0.875,0.728076508647755,0.8518828796723106,0.12380637102455572,0.1712224368475424
0.65,0.9,0.7524160194955342,0.87622239052009,0.12380637102455572,0.1712224368475424
0.65,0.925,0.7767555304407764,0.9005619013678811,0.1238063709271046,0.17121452545513732
0.65,0.95,0.8014777437885557,0.9251198647156604,0.12364212092710461,0.17119137016029323
0.65,0.975,0.8258230034097341,0.9494651243134407,0.1236421209037066,0.1711840237012865
