sample_id,delta_v,Value_High,Value_Low,LH_Ratio,theta_post,epsilon,p_high,p_low,learning_rate,extinction_rate,delta
63,0.20342478761632315,0.6311868327040809,0.4277620450877578,0.43201768463766504,0.8018428315374362,0.8589045669217408,0.8143193773272406,0.5,0.26259410490133506,0.8208841045928593,0.13036241789996783
64,0.3497310632573679,0.682472635691029,0.3327415724336611,0.31833467991884357,0.7819920905916081,0.5625811723559758,0.8015984218898942,0.5,0.1484361200260297,0.8754092246207484,0.7246927394558362
65,0.3753636355055041,0.7403576745291912,0.3649940390236871,0.35714924697950956,0.7572003887897886,0.5494408603748127,0.8461883940378334,0.5,0.12934681813414486,0.605742340298426,0.6776561516259686
66,0.021465899219930726,0.49135705182949874,0.469891152609568,9.16204168380639,0.10687729598910822,0.826181653461176,0.9217701837507002,0.5,0.577826427947792,0.8362043318606388,0.5021436367692447
67,0.4977127912184865,0.8387651546534803,0.34105236343499373,0.5351957774188714,0.41844841649764186,0.014076191632055313,0.8434091458240438,0.5,0.11427599789984369,0.61833246047731,0.5945679401890848
68,0.34423764041891786,0.692116613870226,0.34787897345130825,0.4537712574188354,0.7261163148982476,0.5972665981675549,0.8864257532617517,0.5,0.3129250102025609,0.8413294751489283,0.06974002472531282
69,0.36729002273786915,0.8548874517370825,0.4875974289992134,15.241349010466658,0.038009977368051895,0.025117418738278552,0.8664159970362413,0.5,0.4858286135959642,0.5600491085049433,0.8182671870761904
70,0.4399663156295393,0.7953416052517202,0.3553752896221808,0.10538589281915137,0.8152771726350869,0.1996873895717739,0.8041285619849697,0.5,0.5983004971435756,0.2001514767213901,0.6034786592753244
71,0.21421673784677867,0.6754763899014605,0.461259652054682,3.1070678272443937,0.2699870012073343,0.5457816357107362,0.9837807898366581,0.5,0.12524832556311463,0.5799732670424318,0.8336545257236992
72,0.2923603522004583,0.7216239501650198,0.4292635979645614,1.0192609590982895,0.5374584311599752,0.5745474706213802,0.9054279740877582,0.5,0.13428655293308542,0.48909486399522784,0.5955205191909322
73,-0.006516450948648453,0.4797566494407942,0.4862731003894426,21.60482178932179,0.056575389463239034,0.6672018335407873,0.9463886367116322,0.5,0.457640578527037,0.9031689191178401,0.8446531958299068
74,0.40630254729796167,0.6508962341373514,0.24459368683938965,0.3206754765164208,0.6974171421172258,0.3303928116892694,0.7643338739578672,0.5,0.41428690953236447,0.9500589159858897,0.1566336740985983
75,0.20478822634952926,0.6939429014632625,0.4891546751137333,4.221176437885413,0.22241562854477936,0.569405650770936,0.8208897254086034,0.5,0.4278395549616415,0.19412969241038647,0.8539427798769341
76,0.1381481608211274,0.6093631526214648,0.4712149918003374,8.145885573558074,0.10362592026263762,0.3428364413802436,0.8295701133560056,0.5,0.38017918896959735,0.5364848635012079,0.09092000598719596
77,0.30373348125222066,0.7201620300211612,0.4164285487689405,1.5229854632530924,0.3887122837114898,0.46072408363197004,0.9664550177989983,0.5,0.5121766313297782,0.617296928151139,0.5112323314637326
78,0.5973806226172828,0.8300468488600146,0.23266622624273187,0.05807276418112791,0.944797625886538,0.4959754106181353,0.8682978359403762,0.5,0.25165913709942034,0.8830424882392529,0.5228826787779112
79,0.4938557489001033,0.8301679054523052,0.33631215655220204,0.459371761396544,0.5507880349100587,0.2198420497202327,0.8869280772008388,0.5,0.22179924403527576,0.4277293920981975,0.09793144330012427
80,0.13343240830065908,0.6180444178521706,0.4846120095515115,7.142211295326621,0.22122703781934794,0.9114890080202577,0.9695433918291871,0.5,0.4605587809041223,0.32379037517235254,0.07638009188434303
81,0.4637069916575588,0.9201271945920727,0.45642020293451385,0.16874528524023436,0.729337562553298,0.17571673341786997,0.923778602598915,0.5,0.2895194358149189,0.05312297352000939,0.627868006406431
82,0.5128341944226167,0.8154944901162298,0.302660295693613,0.5935679582341683,0.41830989983852285,0.061726679525274664,0.849815183989068,0.5,0.20504851183178643,0.8615654342997184,0.47234335866453836
83,0.4480949700924165,0.7691102778786194,0.3210153077862029,0.3807112027018699,0.620246225575715,0.27384240710459373,0.8368873478227257,0.5,0.14447480562864132,0.5090033575949123,0.2518590985942397
84,0.5154907157443727,0.9499712531100831,0.43448053736571046,0.2199444413723935,0.7683008214506227,0.3481634925878886,0.9666389003570434,0.5,0.2079235569542863,0.11660090732329254,0.3226232965586784
85,0.16299202180973982,0.5968741955428373,0.43388217373309745,1.3829962345603888,0.5589963753243979,0.8491288741421081,0.9947995240708043,0.5,0.2640859572824503,0.9777385757653552,0.9000837863343493
86,0.3368376168768457,0.6893032576090239,0.3524656407321783,0.7809687516366932,0.5167752926994537,0.39107914481847506,0.8437139330369328,0.5,0.29585686826027857,0.6438596630855716,0.12055537971028507
87,0.45890357001703325,0.9588000118535461,0.49989644183651294,16.378326013855425,0.11309492135805044,0.7271065333659913,0.9679692548550942,0.5,0.525021106317193,0.004574179889227037,0.3767717451036442
88,0.20418255547929404,0.6975114018691049,0.49332884638981095,38.93963059163059,0.028134592113153722,0.38981191985476127,0.8278896027475845,0.5,0.1765237158717298,0.747267285292127,0.9954054432226817
89,0.21521711583513733,0.7139417410422377,0.4987246252071005,97.52566666666667,0.004477434381204626,0.6438091893198296,0.8325445976768233,0.5,0.3117503573740865,0.9694326636089894,0.19857704499420703
90,0.18994578689456387,0.6247792838420203,0.43483349694745643,0.9186596227119228,0.6039561401963014,0.7252011813747838,0.7826627827972306,0.5,0.5133653350220633,0.44230474358817107,0.09481180470934414
91,0.2719511982950308,0.7540069000857129,0.4820557017906822,7.149377603177847,0.12689168797181216,0.4750148887503838,0.9325104881709669,0.5,0.1521784146372165,0.3334123504120514,0.2857482327874137
92,0.3965895413419372,0.8673221266940339,0.47073258535209667,0.943625764615384,0.34630268944715503,0.11618729706898712,0.8750720697466519,0.5,0.4619466066257918,0.08566160959014746,0.19848117522982245
93,0.1977920025770185,0.6822922238349567,0.4845002212579382,22.23448437673438,0.04612832860307681,0.36432601352459726,0.9475308869699013,0.5,0.310435592656204,0.6809753419387429,0.14399760968598607
94,0.39337271263100293,0.8906074435450678,0.497234730914065,38.688362914862914,0.017806154370228033,0.018742570388991298,0.8933716094718329,0.5,0.4362187684326133,0.20853619424464764,0.5103279065211088
