theta_post,p_high_post,delta_v,Value_High,Value_Low,LH_Ratio,reward_contrast
0.45,0.85,0.6153845638339301,0.8186245748074452,0.20324001097351507,0.49888392432467266,1.7
0.45,0.875,0.6398153894843618,0.8429271976619355,0.20311180817757357,0.4980851487032612,1.75
0.45,0.9,0.6650226631598735,0.8677473582767334,0.20272469511685998,0.49695301727035224,1.8
0.45,0.925,0.6896253113676518,0.8921645435575318,0.20253923218987996,0.4963182935363945,1.85
0.45,0.95,0.7138948351518657,0.9163844912720863,0.2024896561202206,0.4960062963560018,1.9
0.45,0.975,0.7381357422026528,0.94057796560023,0.20244222339757728,0.49576023849229695,1.95
0.45,1.0,0.7622559242063323,0.9646974152603569,0.20244149105402456,0.495197202239645,2.0
0.5,0.5,0.11434981377986002,0.38998715680176954,0.27563734302190956,0.6501781483481548,1.0
0.5,0.5249999999999999,0.1854524757040699,0.4360441027538654,0.25059162704979554,0.5792534336415788,1.0499999999999998
0.5,0.55,0.24297481865155152,0.4763020987990642,0.23332728014751267,0.5289119076799655,1.1
0.5,0.575,0.29605677848419487,0.514828868329225,0.21877208984503022,0.48782852077640315,1.15
0.5,0.6,0.3471184160756381,0.552548681693568,0.20543026561792996,0.4491708466944817,1.2
0.5,0.625,0.3913740843877521,0.5870551732146615,0.19568108882690938,0.42445407160910636,1.25
0.5,0.6499999999999999,0.42476191249320505,0.6158352798670267,0.19107336737382158,0.41177049502284324,1.2999999999999998
0.5,0.675,0.4566444598204466,0.6441393364307764,0.18749487661032982,0.40328230689151834,1.35
0.5,0.7,0.4869732433748717,0.6715187821409327,0.18454553876606106,0.39623108006174323,1.4
0.5,0.725,0.5127143710901811,0.6964971921733266,0.18378282108314548,0.3929094465347248,1.45
0.5,0.75,0.538071776672039,0.7214203590295394,0.18334858235750034,0.39113197368608926,1.5
0.5,0.775,0.5630348762634655,0.7460011777973227,0.18296630153385715,0.38977076730219873,1.55
0.5,0.8,0.5875731521344326,0.7703303273686128,0.1827571752341802,0.3882180575709491,1.6
0.5,0.825,0.61317321423051,0.7953679566800277,0.18219474244951775,0.38697240853717146,1.65
0.5,0.85,0.6380702093498866,0.8199498708879365,0.18187966153804985,0.38645930863520606,1.7
0.5,0.875,0.6639735661359313,0.8451561001485626,0.18118253401263124,0.385760676059672,1.75
0.5,0.9,0.6893467718718781,0.8701762132729625,0.18082944140108442,0.38547406843643306,1.8
0.5,0.925,0.7140198357949341,0.8946994129453426,0.18067957715040842,0.38539617196492365,1.85
0.5,0.95,0.738221470101829,0.9188913819456686,0.18066991184383935,0.3852048963521104,1.9
0.5,0.975,0.7624047292768094,0.9430732436797401,0.1806685144029308,0.38515006616086145,1.95
0.5,1.0,0.7865860945019854,0.9672546089029156,0.1806685144009303,0.38509345384202087,2.0
0.55,0.5,0.20196495458278627,0.4283675688100038,0.22640261422721758,0.44263667808857365,1.0
0.55,0.5249999999999999,0.2615648677771634,0.4679563096590197,0.2063914418818563,0.39602161655429213,1.0499999999999998
0.55,0.55,0.3111305731306677,0.5030483876422722,0.19191781451160445,0.36500976685379444,1.1
0.55,0.575,0.3538673770254677,0.5365077475618109,0.18264037053634313,0.3430407450344168,1.15
0.55,0.6,0.39115685211746065,0.5669786372791747,0.17582178516171415,0.33013354728810623,1.2
0.55,0.625,0.4263044384583508,0.5963319354460486,0.17002749698769778,0.3199233393466555,1.25
0.55,0.6499999999999999,0.45935602091434297,0.6249506615858494,0.1655946406715064,0.31187046669001006,1.2999999999999998
0.55,0.675,0.48677060049877124,0.6508887847187985,0.16411818422002725,0.3077727642483992,1.35
0.55,0.7,0.5140536843755837,0.6766548771047268,0.162601192729143,0.30403584699250324,1.4
0.55,0.725,0.5385455226760536,0.7010400294876958,0.1624945068116422,0.30317365851433,1.45
0.55,0.75,0.5642303524055337,0.7260505225277293,0.16182017012219568,0.30178858851348617,1.5
0.55,0.775,0.5903086966046194,0.7513578553368172,0.16104915873219766,0.30064024504649767,1.55
0.55,0.8,0.6154727657193322,0.776221936888585,0.16074917116925283,0.29904838399034034,1.6
0.55,0.825,0.6403672775362381,0.8008379190017525,0.1604706414655144,0.29875812373730265,1.65
0.55,0.85,0.6653100503709167,0.8254953020780335,0.16018525170711667,0.29831163802527577,1.7
