alpha,step,delta_v
0.3,182,0.5841400976531941
0.3,183,0.5842924667500686
0.3,184,0.5843628909222276
0.3,185,0.585111478074909
0.3,186,0.585577337255732
0.3,187,0.5849349300033119
0.3,188,0.5852529589675357
0.3,189,0.5859421012662864
0.3,190,0.5857801156921401
0.3,191,0.5864370796285019
0.3,192,0.5863537970444985
0.3,193,0.5862011726856626
0.3,194,0.5856963799585178
0.3,195,0.5862127031402903
0.3,196,0.5853218505709631
0.3,197,0.5849742044804362
0.3,198,0.5839999094078295
0.3,199,0.5836376512214562
0.6,0,0.35172120000000034
0.6,1,0.3939924000000003
0.6,2,0.42884912352000026
0.6,3,0.45702718726080027
0.6,4,0.47979602421772827
0.6,5,0.49842998592356375
0.6,6,0.5130778320064643
0.6,7,0.5255106520073259
0.6,8,0.5368016119731979
0.6,9,0.5461839750159901
0.6,10,0.5520793566588196
0.6,11,0.5585125930602611
0.6,12,0.5633149501703422
0.6,13,0.5675357229731232
0.6,14,0.5693293417003448
0.6,15,0.5718139739041718
0.6,16,0.5745388515422237
0.6,17,0.5752374758701142
0.6,18,0.5769190971477556
0.6,19,0.5781028184092458
0.6,20,0.5788239871240125
0.6,21,0.5807865334047831
0.6,22,0.581853952620515
0.6,23,0.5818221405436059
0.6,24,0.5813986091225803
0.6,25,0.5812282131999484
0.6,26,0.5815009624161817
0.6,27,0.5830395658623645
0.6,28,0.5829917777062268
0.6,29,0.5841603917355191
0.6,30,0.5844798717416446
0.6,31,0.5852065520828091
0.6,32,0.5860018959608314
0.6,33,0.5838086875888093
0.6,34,0.5844643608015216
0.6,35,0.5857759275634535
0.6,36,0.5859748217151117
0.6,37,0.5859939356468828
0.6,38,0.5844136145744113
0.6,39,0.5842259886331375
0.6,40,0.5849412149296942
0.6,41,0.5845561142454428
0.6,42,0.582536249122931
0.6,43,0.5832745782582113
0.6,44,0.5831556690763573
0.6,45,0.5837413662345357
0.6,46,0.5831856068123462
0.6,47,0.5826500881686218
0.6,48,0.5828817353199007
0.6,49,0.5826166789116052
0.6,50,0.5827780697440718
0.6,51,0.5843494740989588
0.6,52,0.5841598016017983
0.6,53,0.5843256279526684
0.6,54,0.584707949201772
0.6,55,0.5858080145539244
0.6,56,0.5865911569472972
0.6,57,0.5869771712621891
0.6,58,0.5865893749876406
0.6,59,0.5862393312236174
0.6,60,0.5868883664900116
