sample_id,delta_v,Value_High,Value_Low,LH_Ratio,theta_post,epsilon,p_high,p_low,learning_rate,extinction_rate
123,0.1943370641444932,0.493847309030847,0.2995102448863539,1.4602396274165759,0.4230024106274648,0.048790385004594095,0.6138457162910165,0.5,0.4052801997056269,0.8498071223523165
124,0.3916782811171496,0.8716662284436639,0.47998794732651423,0.33468714935844046,0.8534508900776195,0.9529887965540885,0.9944647885741595,0.5,0.6412838943676137,0.47164475356724456
125,0.2913802441912746,0.775623943910957,0.4842436997196824,4.551411021184076,0.19114178063001674,0.0780850122451886,0.7868563687179781,0.5,0.6169526822976635,0.08486492574393689
126,0.6659727865555958,0.7720866993439623,0.1061139127883666,0.05346714864604406,0.8187401252230957,0.034995424684489795,0.7801940156428091,0.5,0.9991351562562921,0.6246320672213098
127,0.08883532293666511,0.4859933291431286,0.39715800620646347,2.5898836182872444,0.2979003118352006,0.8741994381781306,0.8398559681682809,0.5,0.8837857589103718,0.9777702007201592
128,0.18612813313992452,0.6609728665130691,0.4748447333731446,1.0998645651195287,0.5365228359778941,0.6254657207885637,0.7168058972154845,0.5,0.8692790924143139,0.14118515681813937
129,0.18858645805658775,0.5022927709841624,0.3137063129275746,0.49363034817191326,0.6637150521364223,0.455637304477693,0.6315116113186319,0.5,0.8286257786607304,0.8183116635924921
130,-0.07007884807964015,0.3539476972053675,0.42402654528500766,4.02436137383867,0.1984259351313642,0.5576523337727001,0.5834340559939029,0.5,0.26743206845969547,0.8742526707946248
131,-0.454852219938848,0.0444660087620756,0.49931822870092357,98.85516666666668,0.00745913834386569,0.12618686529707723,0.550846205327191,0.5,0.5832280283989965,0.8372805091156226
132,0.06662479680315887,0.43652039608563087,0.369895599282472,0.6386402505345105,0.6375773767220596,0.6905499842811677,0.5538852539565855,0.5,0.8148315666602548,0.6907129559750944
133,0.3970838886026037,0.5605685190407158,0.16348463043811207,0.022820157626546527,0.9439844170543601,0.1586684510374402,0.5661304773615987,0.5,0.7940916025433855,0.507977371672943
134,0.4709422790118147,0.7633590060570946,0.29241672704527993,0.31831037778230076,0.6162090671587517,0.1742569597632676,0.8027271626093387,0.5,0.6751662466317009,0.44162423333680445
135,0.3588260476648122,0.7077424850213093,0.34891643735649713,0.48777023494592553,0.6417111492572095,0.42460761392350943,0.7794746492189186,0.5,0.04301606474591613,0.18066076606996062
136,0.2977003095311101,0.6887298263958475,0.3910295168647373,4.129911319472789,0.19481004205069075,0.07456810786722379,0.9566745625963636,0.5,0.878751236208176,0.9458349900430953
137,0.36694029099876985,0.8592672555705327,0.4923269645717629,0.2612113463591098,0.8864436978291886,0.9906560076225235,0.9323281794292284,0.5,0.8160642911601975,0.36917737416238405
138,0.0906684143717769,0.548524518309881,0.4578561039381041,3.064503229494688,0.2995489979538938,0.863015427768448,0.7971638562083996,0.5,0.503586419927882,0.4636318644048787
139,0.7390350832432386,0.9419587606327037,0.20292367738946515,0.022673007001298144,0.9802408794336729,0.559517134842072,0.9559185305714526,0.5,0.2857041901162567,0.6432599558982687
140,0.06709808625620406,0.5560017403805194,0.48890365412431536,0.8891235364517719,0.6080992591938024,0.678350443107727,0.577880173151033,0.5,0.7746451589922505,0.06792951890377619
141,-0.041682470316585216,0.40358114873697176,0.44526361905355694,3.2036307434668436,0.2479446367479765,0.49441324716663015,0.5620560290888115,0.5,0.6210728878723247,0.5078686065275654
