sample_id,rep,delta_v,Value_High,Value_Low,LH_Ratio,theta_post,epsilon,p_high,p_low,learning_rate,extinction_rate
21,17,0.035992002764085984,0.5219024770170901,0.48591047425300415,34.59134920634921,0.043693241312568465,0.3926905066752112,0.8455270306413691,0.5,0.6690315985377017,0.5915547336476866
21,18,0.06334028018497645,0.5509488683788807,0.48760858819390424,30.360158730158734,0.043693241312568465,0.3926905066752112,0.8455270306413691,0.5,0.6690315985377017,0.5915547336476866
21,19,0.03740993408619814,0.5276422340194288,0.49023229993323064,33.32475468975469,0.043693241312568465,0.3926905066752112,0.8455270306413691,0.5,0.6690315985377017,0.5915547336476866
22,0,0.18861446320575398,0.49960985005853437,0.3109953868527804,0.14458427636348148,0.8790005515634676,0.5376576529462347,0.5489111988301423,0.5,0.9622800892721934,0.7981039042202183
22,1,0.2369921271951363,0.5012530005688335,0.2642608733736972,0.1469465282027024,0.8790005515634676,0.5376576529462347,0.5489111988301423,0.5,0.9622800892721934,0.7981039042202183
22,2,0.16977600155034805,0.49142468176016485,0.3216486802098168,0.14465652311531133,0.8790005515634676,0.5376576529462347,0.5489111988301423,0.5,0.9622800892721934,0.7981039042202183
22,3,0.21053012428600382,0.49919402924877687,0.28866390496277305,0.14431438687498133,0.8790005515634676,0.5376576529462347,0.5489111988301423,0.5,0.9622800892721934,0.7981039042202183
22,4,0.14916308827864921,0.4849157940353057,0.3357527057566565,0.1459381954678678,0.8790005515634676,0.5376576529462347,0.5489111988301423,0.5,0.9622800892721934,0.7981039042202183
22,5,0.20780324013544338,0.5031915660364189,0.2953883259009755,0.14946144215163998,0.8790005515634676,0.5376576529462347,0.5489111988301423,0.5,0.9622800892721934,0.7981039042202183
22,6,0.18997965717889237,0.4906940607405991,0.30071440356170676,0.1508075585814252,0.8790005515634676,0.5376576529462347,0.5489111988301423,0.5,0.9622800892721934,0.7981039042202183
22,7,0.1948611328192425,0.5019705321442205,0.307109399324978,0.1464055212987353,0.8790005515634676,0.5376576529462347,0.5489111988301423,0.5,0.9622800892721934,0.7981039042202183
22,8,0.16881049051638203,0.4941853515339188,0.32537486101753677,0.15121265927692867,0.8790005515634676,0.5376576529462347,0.5489111988301423,0.5,0.9622800892721934,0.7981039042202183
22,9,0.20166666872764683,0.5082478893310685,0.30658122060342163,0.14358750254435063,0.8790005515634676,0.5376576529462347,0.5489111988301423,0.5,0.9622800892721934,0.7981039042202183
22,10,0.191245050840678,0.4924769665311455,0.3012319156904675,0.15009026427470526,0.8790005515634676,0.5376576529462347,0.5489111988301423,0.5,0.9622800892721934,0.7981039042202183
22,11,0.25782851621577507,0.5213368772225769,0.26350836100680186,0.14849126938238538,0.8790005515634676,0.5376576529462347,0.5489111988301423,0.5,0.9622800892721934,0.7981039042202183
22,12,0.21883171829787712,0.5085166501671005,0.28968493186922334,0.14620882769389273,0.8790005515634676,0.5376576529462347,0.5489111988301423,0.5,0.9622800892721934,0.7981039042202183
22,13,0.21707167111712344,0.5010433383450161,0.2839716672278927,0.14144292277398382,0.8790005515634676,0.5376576529462347,0.5489111988301423,0.5,0.9622800892721934,0.7981039042202183
22,14,0.1526273249684041,0.48215040005762766,0.32952307508922357,0.14210229383942374,0.8790005515634676,0.5376576529462347,0.5489111988301423,0.5,0.9622800892721934,0.7981039042202183
22,15,0.18758506806619807,0.4862678830067524,0.2986828149405543,0.14727483663867585,0.8790005515634676,0.5376576529462347,0.5489111988301423,0.5,0.9622800892721934,0.7981039042202183
22,16,0.19811468318980946,0.49901898455614907,0.3009043013663396,0.14781309115955124,0.8790005515634676,0.5376576529462347,0.5489111988301423,0.5,0.9622800892721934,0.7981039042202183
22,17,0.20482334739659747,0.5058165025261904,0.3009931551295929,0.14556205019472918,0.8790005515634676,0.5376576529462347,0.5489111988301423,0.5,0.9622800892721934,0.7981039042202183
22,18,0.20880197213864632,0.5033435310965961,0.2945415589579498,0.1421035148688715,0.8790005515634676,0.5376576529462347,0.5489111988301423,0.5,0.9622800892721934,0.7981039042202183
22,19,0.10760595512510074,0.47386966583968787,0.36626371071458713,0.1473039296851555,0.8790005515634676,0.5376576529462347,0.5489111988301423,0.5,0.9622800892721934,0.7981039042202183
23,0,-0.351867159813102,0.144700145633637,0.49656730544673905,77.67666666666668,0.006753772081126819,0.9458115437886523,0.8277112927778804,0.5,0.15258465984492742,0.5886323190849075
23,1,-0.3487430949960242,0.14679363929369207,0.4955367342897163,78.84666666666666,0.006753772081126819,0.9458115437886523,0.8277112927778804,0.5,0.15258465984492742,0.5886323190849075
23,2,-0.35374679901271655,0.14157247809288134,0.4953192771055979,78.94666666666667,0.006753772081126819,0.9458115437886523,0.8277112927778804,0.5,0.15258465984492742,0.5886323190849075
23,3,-0.34658305043584825,0.14906866127879498,0.49565171171464323,78.28333333333335,0.006753772081126819,0.9458115437886523,0.8277112927778804,0.5,0.15258465984492742,0.5886323190849075
